State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
Michigan,MI,12-2022,34.23
Michigan,MI,12-2023,37.11
Michigan,MI,12-2024,30.5
Michigan,MI,12-2025,28.68
Minnesota,MN,01-2022,22.19
Minnesota,MN,01-2023,20.8
Minnesota,MN,01-2024,20.2
Minnesota,MN,01-2025,16.76
Minnesota,MN,02-2022,20.56
Minnesota,MN,02-2023,17.24
Minnesota,MN,02-2024,19.61
Minnesota,MN,02-2025,15.8
Minnesota,MN,03-2022,22.49
Minnesota,MN,03-2023,19.42
Minnesota,MN,03-2024,20.44
Minnesota,MN,03-2025,17.54
Minnesota,MN,04-2022,21.16
Minnesota,MN,04-2023,21.91
Minnesota,MN,04-2024,21.38
Minnesota,MN,04-2025,17.55
Minnesota,MN,05-2022,26.97
Minnesota,MN,05-2023,25.55
Minnesota,MN,05-2024,23.79
Minnesota,MN,05-2025,21.63
Minnesota,MN,06-2022,27.81
Minnesota,MN,06-2023,23.82
Minnesota,MN,06-2024,24.22
Minnesota,MN,06-2025,20.82
Minnesota,MN,07-2022,28.68
Minnesota,MN,07-2023,24.86
Minnesota,MN,07-2024,25.54
Minnesota,MN,07-2025,21.66
Minnesota,MN,08-2022,25.48
Minnesota,MN,08-2023,23.62
Minnesota,MN,08-2024,22.67
Minnesota,MN,08-2025,20.73
Minnesota,MN,09-2022,24.95
Minnesota,MN,09-2023,22.18
Minnesota,MN,09-2024,22.97
Minnesota,MN,09-2025,19.33
Minnesota,MN,10-2022,23.91
Minnesota,MN,10-2023,22.82
Minnesota,MN,10-2024,21.6
Minnesota,MN,10-2025,18.96
Minnesota,MN,11-2022,19.97
Minnesota,MN,11-2023,21.54
Minnesota,MN,11-2024,19.52
Minnesota,MN,11-2025,16.8
Minnesota,MN,12-2022,19.93
Minnesota,MN,12-2023,20.56
Minnesota,MN,12-2024,17.54
Minnesota,MN,12-2025,15.77
Mississippi,MS,01-2022,17.35
Mississippi,MS,01-2023,19.86
Mississippi,MS,01-2024,15.5
Mississippi,MS,01-2025,17.32
Mississippi,MS,02-2022,19.28
Mississippi,MS,02-2023,17.25
Mississippi,MS,02-2024,16.2
Mississippi,MS,02-2025,16.0
Mississippi,MS,03-2022,21.73
Mississippi,MS,03-2023,18.38
Mississippi,MS,03-2024,17.24
Mississippi,MS,03-2025,19.2
Mississippi,MS,04-2022,20.42
Mississippi,MS,04-2023,17.8
Mississippi,MS,04-2024,18.84
Mississippi,MS,04-2025,21.29
Mississippi,MS,05-2022,24.0
Mississippi,MS,05-2023,21.61
Mississippi,MS,05-2024,23.72
Mississippi,MS,05-2025,19.54
Mississippi,MS,06-2022,21.69
Mississippi,MS,06-2023,17.21
Mississippi,MS,06-2024,21.4
Mississippi,MS,06-2025,20.56
Mississippi,MS,07-2022,21.25
Mississippi,MS,07-2023,17.48
Mississippi,MS,07-2024,19.29
Mississippi,MS,07-2025,20.81
Mississippi,MS,08-2022,23.31
Mississippi,MS,08-2023,16.68
Mississippi,MS,08-2024,20.59
Mississippi,MS,08-2025,20.97
Mississippi,MS,09-2022,20.71
Mississippi,MS,09-2023,15.77
Mississippi,MS,09-2024,17.32
Mississippi,MS,09-2025,19.7
Mississippi,MS,10-2022,20.76
Mississippi,MS,10-2023,18.8
Mississippi,MS,10-2024,16.47
Mississippi,MS,10-2025,18.47
Mississippi,MS,11-2022,18.04
Mississippi,MS,11-2023,15.86
Mississippi,MS,11-2024,17.0
Mississippi,MS,11-2025,16.07
Mississippi,MS,12-2022,18.42
Mississippi,MS,12-2023,16.14
Mississippi,MS,12-2024,16.51
Mississippi,MS,12-2025,14.78
Missouri,MO,01-2022,39.62
Missouri,MO,01-2023,37.24
Missouri,MO,01-2024,33.91
Missouri,MO,01-2025,28.64
Missouri,MO,02-2022,31.87
Missouri,MO,02-2023,32.41
Missouri,MO,02-2024,33.89
Missouri,MO,02-2025,26.05
Missouri,MO,03-2022,42.28
Missouri,MO,03-2023,37.05
Missouri,MO,03-2024,36.96
Missouri,MO,03-2025,36.55
Missouri,MO,04-2022,42.73
Missouri,MO,04-2023,41.18
Missouri,MO,04-2024,37.38
Missouri,MO,04-2025,38.45
Missouri,MO,05-2022,46.14
Missouri,MO,05-2023,43.41
Missouri,MO,05-2024,43.95
Missouri,MO,05-2025,41.13
Missouri,MO,06-2022,44.06
Missouri,MO,06-2023,43.58
Missouri,MO,06-2024,42.24
Missouri,MO,06-2025,39.95
Missouri,MO,07-2022,49.87
Missouri,MO,07-2023,46.38
Missouri,MO,07-2024,45.18
Missouri,MO,07-2025,39.85
Missouri,MO,08-2022,44.57
Missouri,MO,08-2023,42.78
Missouri,MO,08-2024,43.18
Missouri,MO,08-2025,39.0
Missouri,MO,09-2022,42.52
Missouri,MO,09-2023,37.52
Missouri,MO,09-2024,44.4
Missouri,MO,09-2025,36.37
Missouri,MO,10-2022,42.65
Missouri,MO,10-2023,40.43
Missouri,MO,10-2024,39.07
Missouri,MO,10-2025,34.0
Missouri,MO,11-2022,36.7
Missouri,MO,11-2023,35.0
Missouri,MO,11-2024,35.6
Missouri,MO,11-2025,27.74
Missouri,MO,12-2022,37.98
Missouri,MO,12-2023,36.63
Missouri,MO,12-2024,35.48
Missouri,MO,12-2025,24.07
Montana,MT,01-2022,31.18
Montana,MT,01-2023,30.3
Montana,MT,01-2024,29.04
Montana,MT,01-2025,28.31
Montana,MT,02-2022,28.99
Montana,MT,02-2023,26.8
Montana,MT,02-2024,30.1
Montana,MT,02-2025,30.74
Montana,MT,03-2022,40.22
Montana,MT,03-2023,36.76
Montana,MT,03-2024,34.94
Montana,MT,03-2025,39.04
Montana,MT,04-2022,32.0
Montana,MT,04-2023,39.63
Montana,MT,04-2024,33.44
Montana,MT,04-2025,34.39
Montana,MT,05-2022,38.28
Montana,MT,05-2023,38.83
Montana,MT,05-2024,38.98
Montana,MT,05-2025,38.55
Montana,MT,06-2022,35.67
Montana,MT,06-2023,38.92
Montana,MT,06-2024,36.08
Montana,MT,06-2025,38.55
Montana,MT,07-2022,46.92
Montana,MT,07-2023,46.49
Montana,MT,07-2024,44.26
Montana,MT,07-2025,39.6
Montana,MT,08-2022,44.18
Montana,MT,08-2023,37.45
Montana,MT,08-2024,35.11
Montana,MT,08-2025,35.98
Montana,MT,09-2022,41.01
Montana,MT,09-2023,40.92
Montana,MT,09-2024,39.42
Montana,MT,09-2025,33.65
Montana,MT,10-2022,37.0
Montana,MT,10-2023,40.84
Montana,MT,10-2024,37.31
Montana,MT,10-2025,28.65
Montana,MT,11-2022,30.36
Montana,MT,11-2023,35.8
Montana,MT,11-2024,33.0
Montana,MT,11-2025,30.95
Montana,MT,12-2022,27.29
Montana,MT,12-2023,35.89
Montana,MT,12-2024,34.5
Montana,MT,12-2025,22.46
Nebraska,NE,01-2022,21.62
Nebraska,NE,01-2023,13.25
Nebraska,NE,01-2024,16.08
Nebraska,NE,01-2025,15.49
Nebraska,NE,02-2022,20.91
Nebraska,NE,02-2023,12.22
Nebraska,NE,02-2024,16.57
Nebraska,NE,02-2025,14.72
Nebraska,NE,03-2022,20.81
Nebraska,NE,03-2023,16.12
Nebraska,NE,03-2024,17.74
Nebraska,NE,03-2025,20.56
Nebraska,NE,04-2022,25.43
Nebraska,NE,04-2023,12.96
Nebraska,NE,04-2024,16.85
Nebraska,NE,04-2025,22.05
Nebraska,NE,05-2022,28.11
Nebraska,NE,05-2023,17.11
Nebraska,NE,05-2024,19.15
Nebraska,NE,05-2025,19.49
Nebraska,NE,06-2022,27.19
Nebraska,NE,06-2023,15.25
Nebraska,NE,06-2024,18.88
Nebraska,NE,06-2025,19.08
Nebraska,NE,07-2022,30.16
Nebraska,NE,07-2023,12.61
Nebraska,NE,07-2024,20.6
Nebraska,NE,07-2025,19.61
Nebraska,NE,08-2022,26.52
Nebraska,NE,08-2023,20.42
Nebraska,NE,08-2024,20.44
Nebraska,NE,08-2025,20.04
Nebraska,NE,09-2022,27.96
Nebraska,NE,09-2023,22.44
Nebraska,NE,09-2024,20.04
Nebraska,NE,09-2025,18.42
Nebraska,NE,10-2022,25.75
Nebraska,NE,10-2023,20.5
Nebraska,NE,10-2024,19.7
Nebraska,NE,10-2025,18.81
Nebraska,NE,11-2022,20.48
Nebraska,NE,11-2023,17.84
Nebraska,NE,11-2024,20.58
Nebraska,NE,11-2025,17.26
Nebraska,NE,12-2022,18.24
Nebraska,NE,12-2023,17.36
Nebraska,NE,12-2024,16.79
Nebraska,NE,12-2025,15.19
Nevada,NV,01-2022,37.61
Nevada,NV,01-2023,34.01
Nevada,NV,01-2024,35.69
Nevada,NV,01-2025,28.78
Nevada,NV,02-2022,35.05
Nevada,NV,02-2023,32.57
Nevada,NV,02-2024,30.68
Nevada,NV,02-2025,27.87
Nevada,NV,03-2022,38.33
Nevada,NV,03-2023,36.53
Nevada,NV,03-2024,35.39
Nevada,NV,03-2025,32.08
Nevada,NV,04-2022,38.74
Nevada,NV,04-2023,34.95
Nevada,NV,04-2024,36.09
Nevada,NV,04-2025,33.32
Nevada,NV,05-2022,39.94
Nevada,NV,05-2023,41.12
Nevada,NV,05-2024,34.8
Nevada,NV,05-2025,36.41
Nevada,NV,06-2022,37.35
Nevada,NV,06-2023,37.88
Nevada,NV,06-2024,35.74
Nevada,NV,06-2025,31.96
Nevada,NV,07-2022,40.07
Nevada,NV,07-2023,37.63
Nevada,NV,07-2024,33.8
Nevada,NV,07-2025,33.07
Nevada,NV,08-2022,39.31
Nevada,NV,08-2023,39.58
Nevada,NV,08-2024,35.0
Nevada,NV,08-2025,36.07
Nevada,NV,09-2022,40.32
Nevada,NV,09-2023,37.72
Nevada,NV,09-2024,34.78
Nevada,NV,09-2025,34.09
Nevada,NV,10-2022,42.16
Nevada,NV,10-2023,36.87
Nevada,NV,10-2024,36.57
Nevada,NV,10-2025,31.13
Nevada,NV,11-2022,35.33
Nevada,NV,11-2023,33.29
Nevada,NV,11-2024,29.81
Nevada,NV,11-2025,24.56
Nevada,NV,12-2022,35.46
Nevada,NV,12-2023,35.21
Nevada,NV,12-2024,30.13
Nevada,NV,12-2025,17.6
New Hampshire,NH,01-2022,11.42
New Hampshire,NH,01-2023,9.18
New Hampshire,NH,01-2024,9.88
New Hampshire,NH,01-2025,8.39
New Hampshire,NH,02-2022,10.21
New Hampshire,NH,02-2023,8.61
New Hampshire,NH,02-2024,7.25
New Hampshire,NH,02-2025,7.4
New Hampshire,NH,03-2022,13.26
New Hampshire,NH,03-2023,9.35
New Hampshire,NH,03-2024,8.53
New Hampshire,NH,03-2025,10.39
New Hampshire,NH,04-2022,10.58
New Hampshire,NH,04-2023,9.79
New Hampshire,NH,04-2024,7.89
New Hampshire,NH,04-2025,8.19
New Hampshire,NH,05-2022,11.37
New Hampshire,NH,05-2023,10.91
New Hampshire,NH,05-2024,10.96
New Hampshire,NH,05-2025,11.47
New Hampshire,NH,06-2022,10.95
New Hampshire,NH,06-2023,8.43
New Hampshire,NH,06-2024,10.45
New Hampshire,NH,06-2025,12.24
New Hampshire,NH,07-2022,12.16
New Hampshire,NH,07-2023,10.7
New Hampshire,NH,07-2024,10.02
New Hampshire,NH,07-2025,10.85
New Hampshire,NH,08-2022,13.46
New Hampshire,NH,08-2023,10.3
New Hampshire,NH,08-2024,8.18
New Hampshire,NH,08-2025,11.15
New Hampshire,NH,09-2022,10.37
New Hampshire,NH,09-2023,10.3
New Hampshire,NH,09-2024,9.59
New Hampshire,NH,09-2025,8.58
New Hampshire,NH,10-2022,10.73
New Hampshire,NH,10-2023,9.86
New Hampshire,NH,10-2024,10.8
New Hampshire,NH,10-2025,9.92
New Hampshire,NH,11-2022,9.81
New Hampshire,NH,11-2023,11.0
New Hampshire,NH,11-2024,9.45
New Hampshire,NH,11-2025,7.96
New Hampshire,NH,12-2022,9.39
New Hampshire,NH,12-2023,8.65
New Hampshire,NH,12-2024,9.1
New Hampshire,NH,12-2025,8.2
New Jersey,NJ,01-2022,16.59
New Jersey,NJ,01-2023,18.1
New Jersey,NJ,01-2024,17.44
New Jersey,NJ,01-2025,15.48
New Jersey,NJ,02-2022,15.11
New Jersey,NJ,02-2023,14.82
New Jersey,NJ,02-2024,15.62
New Jersey,NJ,02-2025,12.74
New Jersey,NJ,03-2022,17.79
New Jersey,NJ,03-2023,19.18
New Jersey,NJ,03-2024,18.11
New Jersey,NJ,03-2025,16.75
New Jersey,NJ,04-2022,18.04
New Jersey,NJ,04-2023,17.11
New Jersey,NJ,04-2024,17.59
New Jersey,NJ,04-2025,16.96
New Jersey,NJ,05-2022,19.74
New Jersey,NJ,05-2023,20.5
New Jersey,NJ,05-2024,20.36
New Jersey,NJ,05-2025,17.42
New Jersey,NJ,06-2022,19.61
New Jersey,NJ,06-2023,20.77
New Jersey,NJ,06-2024,20.59
New Jersey,NJ,06-2025,18.48
New Jersey,NJ,07-2022,21.94
New Jersey,NJ,07-2023,22.04
New Jersey,NJ,07-2024,21.53
New Jersey,NJ,07-2025,19.99
New Jersey,NJ,08-2022,20.71
New Jersey,NJ,08-2023,20.07
New Jersey,NJ,08-2024,19.91
New Jersey,NJ,08-2025,17.58
New Jersey,NJ,09-2022,17.87
New Jersey,NJ,09-2023,19.51
New Jersey,NJ,09-2024,18.05
New Jersey,NJ,09-2025,17.62
New Jersey,NJ,10-2022,17.86
New Jersey,NJ,10-2023,20.48
New Jersey,NJ,10-2024,19.39
New Jersey,NJ,10-2025,14.82
New Jersey,NJ,11-2022,16.37
New Jersey,NJ,11-2023,17.08
New Jersey,NJ,11-2024,17.4
New Jersey,NJ,11-2025,14.9
New Jersey,NJ,12-2022,16.03
New Jersey,NJ,12-2023,18.04
New Jersey,NJ,12-2024,15.83
New Jersey,NJ,12-2025,13.56
New Mexico,NM,01-2022,64.3
New Mexico,NM,01-2023,62.21
New Mexico,NM,01-2024,59.61
New Mexico,NM,01-2025,51.94
New Mexico,NM,02-2022,64.57
New Mexico,NM,02-2023,51.77
New Mexico,NM,02-2024,57.17
New Mexico,NM,02-2025,48.07
New Mexico,NM,03-2022,66.04
New Mexico,NM,03-2023,59.25
New Mexico,NM,03-2024,57.48
New Mexico,NM,03-2025,53.29
New Mexico,NM,04-2022,70.86
New Mexico,NM,04-2023,66.79
New Mexico,NM,04-2024,63.39
New Mexico,NM,04-2025,54.13
New Mexico,NM,05-2022,71.23
New Mexico,NM,05-2023,71.14
New Mexico,NM,05-2024,66.46
New Mexico,NM,05-2025,52.68
New Mexico,NM,06-2022,69.89
New Mexico,NM,06-2023,73.54
New Mexico,NM,06-2024,68.87
New Mexico,NM,06-2025,61.14
New Mexico,NM,07-2022,82.01
New Mexico,NM,07-2023,77.5
New Mexico,NM,07-2024,71.15
New Mexico,NM,07-2025,63.76
New Mexico,NM,08-2022,76.44
New Mexico,NM,08-2023,73.59
New Mexico,NM,08-2024,70.05
New Mexico,NM,08-2025,65.57
New Mexico,NM,09-2022,78.89
New Mexico,NM,09-2023,71.2
