State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
West Virginia,WV,12-2025,15.84
Wisconsin,WI,01-2022,23.86
Wisconsin,WI,01-2023,24.49
Wisconsin,WI,01-2024,21.89
Wisconsin,WI,01-2025,20.41
Wisconsin,WI,02-2022,20.65
Wisconsin,WI,02-2023,21.71
Wisconsin,WI,02-2024,21.82
Wisconsin,WI,02-2025,16.12
Wisconsin,WI,03-2022,26.25
Wisconsin,WI,03-2023,24.62
Wisconsin,WI,03-2024,21.68
Wisconsin,WI,03-2025,20.77
Wisconsin,WI,04-2022,25.66
Wisconsin,WI,04-2023,25.77
Wisconsin,WI,04-2024,23.15
Wisconsin,WI,04-2025,21.27
Wisconsin,WI,05-2022,28.16
Wisconsin,WI,05-2023,26.82
Wisconsin,WI,05-2024,27.33
Wisconsin,WI,05-2025,21.99
Wisconsin,WI,06-2022,27.61
Wisconsin,WI,06-2023,26.78
Wisconsin,WI,06-2024,26.53
Wisconsin,WI,06-2025,23.31
Wisconsin,WI,07-2022,29.84
Wisconsin,WI,07-2023,28.44
Wisconsin,WI,07-2024,29.13
Wisconsin,WI,07-2025,23.05
Wisconsin,WI,08-2022,26.82
Wisconsin,WI,08-2023,28.45
Wisconsin,WI,08-2024,27.18
Wisconsin,WI,08-2025,20.88
Wisconsin,WI,09-2022,25.56
Wisconsin,WI,09-2023,27.6
Wisconsin,WI,09-2024,25.27
Wisconsin,WI,09-2025,20.39
Wisconsin,WI,10-2022,28.42
Wisconsin,WI,10-2023,25.07
Wisconsin,WI,10-2024,23.31
Wisconsin,WI,10-2025,22.14
Wisconsin,WI,11-2022,24.53
Wisconsin,WI,11-2023,21.33
Wisconsin,WI,11-2024,19.73
Wisconsin,WI,11-2025,18.34
Wisconsin,WI,12-2022,21.34
Wisconsin,WI,12-2023,23.09
Wisconsin,WI,12-2024,20.62
Wisconsin,WI,12-2025,7.68
Wyoming,WY,01-2022,19.83
Wyoming,WY,01-2023,14.75
Wyoming,WY,01-2024,15.76
Wyoming,WY,01-2025,12.35
Wyoming,WY,02-2022,13.88
Wyoming,WY,02-2023,11.27
Wyoming,WY,02-2024,16.41
Wyoming,WY,02-2025,15.24
Wyoming,WY,03-2022,34.37
Wyoming,WY,03-2023,17.86
Wyoming,WY,03-2024,17.35
Wyoming,WY,03-2025,12.83
Wyoming,WY,04-2022,17.18
Wyoming,WY,04-2023,19.22
Wyoming,WY,04-2024,15.65
Wyoming,WY,04-2025,15.24
Wyoming,WY,05-2022,16.84
Wyoming,WY,05-2023,18.05
Wyoming,WY,05-2024,20.74
Wyoming,WY,05-2025,18.4
Wyoming,WY,06-2022,17.51
Wyoming,WY,06-2023,18.64
Wyoming,WY,06-2024,22.82
Wyoming,WY,06-2025,18.03
Wyoming,WY,07-2022,18.4
Wyoming,WY,07-2023,18.25
Wyoming,WY,07-2024,21.69
Wyoming,WY,07-2025,18.19
Wyoming,WY,08-2022,18.17
Wyoming,WY,08-2023,19.02
Wyoming,WY,08-2024,16.78
Wyoming,WY,08-2025,13.92
Wyoming,WY,09-2022,17.51
Wyoming,WY,09-2023,16.89
Wyoming,WY,09-2024,12.26
Wyoming,WY,09-2025,17.26
Wyoming,WY,10-2022,16.62
Wyoming,WY,10-2023,19.02
Wyoming,WY,10-2024,20.29
Wyoming,WY,10-2025,15.27
Wyoming,WY,11-2022,13.52
Wyoming,WY,11-2023,13.98
Wyoming,WY,11-2024,17.42
Wyoming,WY,11-2025,16.43
Wyoming,WY,12-2022,18.17
Wyoming,WY,12-2023,17.28
Wyoming,WY,12-2024,14.93
Wyoming,WY,12-2025,9.75
District of Columbia,DC,01-2022,78.74
District of Columbia,DC,01-2023,77.32
District of Columbia,DC,01-2024,83.16
District of Columbia,DC,01-2025,68.49
District of Columbia,DC,02-2022,67.88
District of Columbia,DC,02-2023,74.82
District of Columbia,DC,02-2024,73.34
District of Columbia,DC,02-2025,55.68
District of Columbia,DC,03-2022,62.82
District of Columbia,DC,03-2023,84.1
District of Columbia,DC,03-2024,73.76
District of Columbia,DC,03-2025,68.78
District of Columbia,DC,04-2022,66.09
District of Columbia,DC,04-2023,92.05
District of Columbia,DC,04-2024,81.59
District of Columbia,DC,04-2025,64.65
District of Columbia,DC,05-2022,69.22
District of Columbia,DC,05-2023,90.73
District of Columbia,DC,05-2024,97.69
District of Columbia,DC,05-2025,82.73
District of Columbia,DC,06-2022,62.37
District of Columbia,DC,06-2023,115.76
District of Columbia,DC,06-2024,105.23
District of Columbia,DC,06-2025,73.19
District of Columbia,DC,07-2022,67.13
District of Columbia,DC,07-2023,131.23
District of Columbia,DC,07-2024,94.7
District of Columbia,DC,07-2025,72.62
District of Columbia,DC,08-2022,74.58
District of Columbia,DC,08-2023,107.07
District of Columbia,DC,08-2024,86.86
District of Columbia,DC,08-2025,61.66
District of Columbia,DC,09-2022,69.96
District of Columbia,DC,09-2023,92.05
District of Columbia,DC,09-2024,84.87
District of Columbia,DC,09-2025,62.66
District of Columbia,DC,10-2022,70.11
District of Columbia,DC,10-2023,110.31
District of Columbia,DC,10-2024,88.0
District of Columbia,DC,10-2025,65.08
District of Columbia,DC,11-2022,70.41
District of Columbia,DC,11-2023,101.62
District of Columbia,DC,11-2024,75.61
District of Columbia,DC,11-2025,64.79
District of Columbia,DC,12-2022,58.35
District of Columbia,DC,12-2023,79.53
District of Columbia,DC,12-2024,68.78
District of Columbia,DC,12-2025,47.7
