rank,state,livability_score,Cost_of_Living_Index_2025,Top_State_Income_Tax_Rate,unemployment_rate,employment_rate,avg_weekly_earnings,violent_crime_rate_per_100k,cost_good,crime_good,tax_good,unemp_good,employ_good,wage_good
24,Kansas,0.562839482017387,88.8,5.58,3.8363636363636364,64.66363636363636,1073.8275,,0.9717171717171718,,0.5804511278195489,0.46858638743455505,0.8030303030303028,0.18064431268246114
25,Oklahoma,0.5558430945769982,86.0,4.75,3.3454545454545452,60.709090909090904,1090.1766666666667,34.097500000000004,1.0,0.3817107942973522,0.6428571428571428,0.6099476439790577,0.5495337995337993,0.21415820662488325
26,Maryland,0.5557276915017668,115.4,5.75,3.6727272727272724,62.24545454545455,1202.49,,0.7030303030303029,,0.5676691729323309,0.5157068062827227,0.6480186480186484,0.44438750322429654
27,Florida,0.5495118658621079,102.2,0.0,3.9818181818181824,55.527272727272724,1183.8275,,0.8363636363636363,,1.0,0.4267015706806282,0.21736596736596733,0.4061315444679613
28,Montana,0.5448127142574378,95.5,5.9,3.0545454545454547,60.45454545454545,1091.6066666666668,33.405833333333334,0.9040404040404041,0.3986150712830957,0.5563909774436091,0.693717277486911,0.5332167832167833,0.21708954063809488
29,Massachusetts,0.5444267909172189,141.2,9.0,4.790909090909091,63.53636363636363,1415.7591666666667,25.36916666666667,0.4424242424242425,0.5950305498981671,0.32330827067669177,0.19371727748691103,0.7307692307692306,0.8815645397412706
30,North Carolina,0.5437500302591719,97.8,4.25,3.772727272727273,57.2,1150.0191666666667,27.246666666666666,0.8808080808080808,0.5491446028513239,0.6804511278195489,0.4869109947643979,0.32459207459207495,0.33682838542600857
31,Ohio,0.5338248729147561,94.3,3.5,4.818181818181818,59.527272727272724,1135.5966666666666,22.665000000000003,0.9161616161616162,0.6611201629327902,0.736842105263158,0.18586387434554974,0.4737762237762237,0.3072639345130413
32,Arizona,0.5315113294364763,110.7,2.5,4.218181818181818,59.18181818181818,1204.6858333333332,30.916666666666668,0.7505050505050505,0.45945010183299395,0.8120300751879699,0.3586387434554975,0.4516317016317017,0.4488887066769841
33,New Jersey,0.5239363372852291,115.1,10.75,5.0636363636363635,60.50909090909091,1277.6641666666667,16.358333333333334,0.706060606060606,0.815254582484725,0.19172932330827075,0.11518324607329855,0.5367132867132868,0.5984858190738283
34,Missouri,0.5107151282067524,89.0,4.7,4.072727272727272,61.18181818181818,1080.3774999999998,34.31666666666667,0.9696969696969697,0.37635437881873723,0.6466165413533835,0.40052356020942426,0.5798368298368298,0.19407105239332445
35,Tennessee,0.5096248340038168,90.3,0.0,3.5727272727272723,57.99090909090909,1073.1308333333334,41.56916666666667,0.9565656565656566,0.1991038696537678,1.0,0.5445026178010473,0.3752913752913755,0.17921622688115288
36,Mississippi,0.4959583103560677,87.3,4.4,3.9,53.63636363636363,991.8033333333333,18.72583333333333,0.9868686868686869,0.7573930753564155,0.6691729323308271,0.4502617801047122,0.09615384615384615,0.012504291944468459
37,Arkansas,0.4857171001750261,89.6,3.9,3.972727272727273,56.32727272727273,1036.2558333333334,,0.9636363636363637,,0.7067669172932332,0.4293193717277487,0.2686480186480189,0.10362675713487726
38,West Virginia,0.4827481159343321,88.3,4.82,4.118181818181818,52.13636363636363,1049.8225,21.305833333333336,0.9767676767676768,0.6943380855397148,0.6375939849624059,0.38743455497382207,0.0,0.13143684905508882
39,Maine,0.4815029067497238,113.0,7.15,3.309090909090909,57.88181818181818,1083.1291666666666,,0.7272727272727273,,0.46240601503759393,0.6204188481675393,0.36829836829836854,0.19971164966117105
40,Louisiana,0.4753920252964273,92.3,3.0,4.372727272727273,55.54545454545455,1069.76,,0.9363636363636364,,0.7744360902255639,0.31413612565445026,0.2185314685314688,0.17230640981621073
41,Oregon,0.4735948347379889,111.8,9.9,5.054545454545455,59.75454545454545,1244.9841666666666,26.2075,0.7393939393939395,0.574541751527495,0.2556390977443609,0.11780104712041883,0.48834498834498824,0.5314956123942813
42,Nevada,0.4727165651662944,100.2,0.0,5.372727272727273,59.790909090909096,1104.6033333333332,30.578333333333333,0.8565656565656565,0.4677189409368636,1.0,0.02617801047120416,0.4906759906759912,0.24373119872087215
43,Michigan,0.44706133448597274,90.1,4.25,5.290909090909091,58.209090909090904,1131.51,34.740833333333335,0.9585858585858587,0.3659877800407332,0.6804511278195489,0.04973821989528804,0.3892773892773891,0.2988867422048892
44,Kentucky,0.4391703033698463,92.5,4.0,4.781818181818182,55.50909090909091,1054.6483333333333,,0.9343434343434344,,0.6992481203007519,0.19633507853403132,0.21620046620046632,0.1413292472313754
45,South Carolina,0.43877358347426393,94.7,6.2,4.4363636363636365,55.4,1092.6991666666665,32.3575,0.9121212121212121,0.42423625254582487,0.5338345864661654,0.2958115183246074,0.2092074592074593,0.21932903882650945
46,New York,0.4327555815760815,125.1,10.9,4.263636363636364,58.48181818181818,1280.03,38.36,0.6050505050505051,0.2775356415478616,0.18045112781954886,0.3455497382198953,0.40675990675990664,0.6033355027938209
47,Hawaii,0.42887395636474146,185.0,11.0,2.5818181818181816,58.92727272727273,1251.73,,0.0,,0.17293233082706772,0.829842931937173,0.43531468531468565,0.5453237877071877
48,Delaware,0.4285781123770072,101.9,6.6,4.527272727272727,56.56363636363637,1069.3741666666667,,0.8393939393939394,,0.5037593984962406,0.26963350785340323,0.2837995337995344,0.1715154962683572
49,California,0.4034006307677598,142.3,13.3,5.463636363636364,59.027272727272724,1371.825,,0.4313131313131312,,0.0,0.0,0.44172494172494164,0.7915045977188209
50,New Mexico,0.32410397202075353,93.7,5.9,4.3,55.21818181818182,985.7033333333334,49.715833333333336,0.9222222222222222,0.0,0.5563909774436091,0.33507853403141374,0.19755244755244777,0.0
